boosts,damageDealt,heals,killStreaks,longestKill,rideDistance,walkDistance,weaponsAcquired
0,0.0,0,0,0.0,0.0,100.5,0
4,196.3,0,1,105.8,0.0,3042.0,4
0,0.0,0,0,0.0,0.0,16.33,1
3,574.2,1,2,63.85,0.0,730.9,2
0,244.5,0,1,28.96,0.0,188.3,4
0,32.33,0,0,0.0,0.0,916.2,4
0,100.0,0,1,40.01,0.0,1322.0,5
3,283.4,0,1,100.6,0.0,3313.0,5
0,0.0,0,0,0.0,0.0,1442.0,6
3,338.5,0,1,51.14,0.0,1609.0,3
0,0.0,0,0,0.0,0.0,253.5,2
0,88.11,0,0,0.0,0.0,0.0,3
0,30.03,0,0,0.0,0.0,150.7,1
0,70.56,0,0,0.0,0.0,1135.0,4
2,200.0,0,1,51.04,0.0,2303.0,3
0,110.0,0,1,9.5,0.0,1263.0,5
0,199.7,0,1,24.54,2114.0,913.6,6
0,0.0,0,0,0.0,0.0,91.91,3
5,613.4,3,1,94.06,0.0,2331.0,4
0,324.8,0,0,0.0,0.0,0.0,8
1,328.0,0,1,159.9,394.0,1252.0,4
1,0.0,5,0,0.0,0.0,446.7,3
1,0.0,1,0,0.0,0.0,1420.0,3
3,441.7,2,1,30.8,0.0,2536.0,5
0,0.0,0,0,0.0,0.0,0.0,0
1,197.7,0,1,36.26,0.0,921.6,5
0,0.0,0,0,0.0,0.0,161.7,5
0,74.97,0,0,0.0,1633.0,435.1,2
0,6.96,0,0,0.0,4501.0,1106.0,6
0,0.0,0,0,0.0,169.1,459.7,6
0,0.0,0,0,0.0,0.0,60.37,2
0,0.0,0,0,0.0,0.0,0.0,0
3,180.4,0,1,223.0,0.0,2519.0,6
0,0.0,0,0,0.0,0.0,211.1,6
2,77.84,3,1,116.1,3365.0,1356.0,7
0,0.0,0,0,0.0,0.0,0.0,6
4,257.8,3,1,41.97,2415.0,1694.0,4
0,93.31,0,0,0.0,0.0,128.8,2
0,0.0,0,0,0.0,0.0,1450.0,7
5,211.0,4,1,102.5,0.0,2453.0,4
2,251.2,1,1,110.9,7392.0,1117.0,4
0,169.6,0,0,0.0,2087.0,3152.0,4
0,423.2,0,1,239.1,108.2,1206.0,4
0,88.81,1,0,0.0,234.4,1095.0,2
4,350.9,1,1,239.0,1505.0,1306.0,9
3,0.0,2,0,0.0,0.0,961.1,4
0,0.0,0,0,0.0,0.0,32.16,0
6,20.82,4,0,0.0,0.0,2448.0,4
3,462.7,2,1,38.94,0.0,565.2,6
4,545.2,6,1,17.66,0.0,1579.0,6
0,0.0,0,0,0.0,0.0,11.46,1
2,292.1,2,1,28.29,0.0,2102.0,5
1,69.51,0,0,0.0,0.0,231.1,4
0,172.2,0,1,123.5,0.0,1801.0,5
0,44.23,0,0,0.0,0.0,1614.0,3
1,22.74,0,0,0.0,9450.0,457.3,4
0,0.0,0,0,0.0,0.0,0.0,0
0,0.0,0,0,0.0,0.0,529.7,2
4,705.1,2,1,165.5,1451.0,2923.0,8
0,26.46,0,0,0.0,0.0,590.0,1
2,0.0,0,0,0.0,0.0,2367.0,4
0,0.0,0,0,0.0,0.0,0.0,0
1,300.0,0,1,57.97,0.0,564.8,4
0,54.62,0,0,0.0,0.0,747.4,4
1,110.4,1,1,10.46,0.0,2172.0,6
5,563.4,3,1,63.18,2508.0,1648.0,8
0,0.0,0,0,0.0,0.0,69.7,2
2,100.0,0,1,28.15,0.0,227.4,4
0,0.0,0,0,0.0,0.0,127.3,1
6,566.4,4,1,203.0,0.0,3191.0,3
1,143.6,1,1,14.53,0.0,415.9,3
0,7.98,0,1,9.29,0.0,136.2,2
0,22.0,0,1,3.66,0.0,522.4,1
2,188.9,3,1,42.82,1995.0,1792.0,5
0,85.9,0,0,0.0,0.0,171.3,3
0,0.0,0,0,0.0,0.0,197.0,4
0,237.4,0,1,80.83,0.0,1649.0,3
0,0.0,0,0,0.0,1067.0,277.3,0
0,93.31,0,0,0.0,0.0,47.36,1
0,19.35,3,0,0.0,5620.0,1343.0,6
3,181.1,0,1,25.3,0.0,1769.0,7
1,341.4,1,1,76.37,0.0,2217.0,3
8,322.9,1,1,12.8,0.0,2887.0,3
0,78.78,0,0,0.0,0.0,99.99,2
0,22.05,0,0,0.0,0.0,112.5,2
1,0.0,0,0,0.0,460.3,2476.0,9
0,0.0,0,0,0.0,0.0,126.5,1
0,40.92,0,0,0.0,0.0,0.71,2
0,42.89,0,0,0.0,0.0,19.07,1
0,87.19,0,0,0.0,0.0,441.8,5
0,42.02,0,0,0.0,0.0,0.0,3
0,0.0,0,0,0.0,0.0,39.26,0
6,0.0,9,0,0.0,4434.0,1967.0,7
0,91.87,0,0,0.0,0.0,156.2,3
1,110.7,1,1,3.24,941.5,3948.0,4
1,19.4,0,0,0.0,2618.0,909.8,10
0,0.0,0,0,0.0,0.0,347.1,4
7,840.9,9,1,164.0,93.79,3108.0,8
0,0.0,0,0,0.0,0.0,79.35,1
0,0.0,0,0,0.0,0.0,1225.0,7
4,161.2,5,1,136.7,0.0,2159.0,5
5,313.7,2,1,8.71,0.0,2631.0,5
0,0.0,0,0,0.0,0.0,0.0,1
6,149.5,0,1,1.1,1666.0,2718.0,3
0,82.8,0,0,0.0,0.0,4.52,0
0,0.0,0,0,0.0,0.0,187.1,5
2,610.8,1,1,56.0,0.0,2466.0,9
0,81.81,0,0,0.0,0.0,136.2,1
0,0.0,0,0,0.0,0.0,1547.0,12
0,133.1,0,1,18.81,0.0,121.8,1
0,42.39,0,0,0.0,0.01,814.3,5
0,102.2,0,0,0.0,0.0,227.8,3
0,0.0,0,0,0.0,266.4,631.0,2
0,174.4,0,0,0.0,0.0,0.0,5
4,420.3,9,1,71.96,454.8,1894.0,7
0,0.0,0,0,0.0,0.0,342.8,2
0,0.0,0,0,0.0,0.0,1118.0,3
8,422.0,3,1,57.31,0.0,1947.0,3
0,0.0,0,0,0.0,3007.0,1075.0,8
0,0.0,0,0,0.0,0.0,39.87,1
1,200.0,0,1,37.23,2307.0,1758.0,3
0,94.08,0,0,0.0,0.0,90.59,3
0,0.0,0,0,0.0,0.0,1042.0,5
0,45.69,0,0,0.0,0.0,582.0,4
1,0.0,1,0,0.0,0.0,958.8,2
1,227.4,1,1,24.08,5456.0,1862.0,4
0,0.0,0,0,0.0,2170.0,2010.0,10
0,0.0,0,0,0.0,605.1,1625.0,4
0,48.0,0,0,0.0,0.0,59.26,3
0,200.0,1,1,2.84,0.0,2189.0,4
4,154.4,2,1,9.65,1548.0,711.6,4
1,100.8,0,0,0.0,1593.0,1341.0,6
0,0.0,0,0,0.0,0.0,0.0,0
0,0.0,0,0,0.0,0.0,57.19,0
1,0.0,1,0,0.0,1115.0,1649.0,7
0,0.0,0,0,0.0,0.0,0.0,0
0,100.0,2,1,4.83,0.0,605.4,6
0,100.0,0,1,5.05,0.0,337.1,3
0,0.0,0,0,0.0,0.0,121.3,3
6,1081.0,3,1,184.0,3671.0,3598.0,5
2,305.7,0,1,26.19,749.5,458.4,3
0,0.0,0,0,0.0,0.0,67.72,1
0,0.0,0,0,0.0,0.0,0.0,1
2,465.7,9,1,93.35,0.0,3249.0,4
0,90.3,0,0,0.0,0.0,306.0,1
1,319.3,0,1,116.5,1762.0,3466.0,8
0,104.7,0,0,0.0,0.0,0.0,2
7,427.6,0,1,27.39,2138.0,1717.0,7
0,0.0,0,0,0.0,0.0,0.0,0
3,245.5,2,1,43.98,282.6,2661.0,5
0,0.0,0,0,0.0,0.0,11.13,1
1,95.79,0,0,0.0,0.0,120.7,2
0,185.3,0,1,0.63,0.0,812.9,7
5,381.9,2,2,84.27,0.0,3326.0,6
0,0.0,1,0,0.0,1059.0,1173.0,7
0,100.0,0,1,15.28,947.6,1813.0,6
0,70.52,0,0,0.0,0.0,21.21,2
0,0.0,0,0,0.0,0.0,11.66,1
0,0.0,0,0,0.0,0.0,199.7,3
1,119.0,0,0,0.0,0.0,324.2,3
0,0.0,0,0,0.0,0.0,52.73,0
0,0.0,0,0,0.0,0.0,60.1,1
0,0.0,0,0,0.0,0.0,268.7,4
0,58.28,0,0,0.0,0.0,83.78,2
1,145.5,4,1,8.72,2696.0,2012.0,3
0,200.0,0,1,12.82,0.0,134.8,2
0,0.0,0,0,0.0,0.0,0.0,0
3,133.0,5,1,115.3,5415.0,6525.0,5
1,129.9,1,0,0.0,5332.0,2472.0,3
3,224.6,2,1,263.4,1999.0,5587.0,5
5,153.2,6,1,39.57,677.1,1662.0,5
0,0.0,0,0,0.0,0.0,139.2,5
1,0.0,1,0,0.0,816.9,1716.0,3
0,0.0,0,0,0.0,0.0,0.0,0
1,0.0,1,0,0.0,0.0,900.0,6
0,54.18,0,0,0.0,0.0,181.6,2
0,0.32,0,0,0.0,0.0,0.0,7
1,89.78,4,0,0.0,0.0,688.6,6
0,0.0,0,0,0.0,0.0,158.5,2
1,278.6,7,1,13.79,2243.0,759.6,5
